ID,Content,Aspect,Opinion,Sentiment
"Use dry cycle first, change the pads l, and then run wet cycle with sprayer on for best results","I have to admit I was somewhat skeptical, but after getting one I am very impressed. It cleaned my four large windows in about an hour with great results. Instructions are easy to follow and it's simple to use. We also used it to clean the shower cabin. It's expensive but definitely worth the investment.",Instructions,easy follow,POS
Verified Purchase,IT STARTS CLEANING BUT NEVER GOES UP.  JUST GOES DOWN.  THE PREVIOUS VERSION WAS MUCH BETTER.  IT WORKED AND CLEANED GLASSES AND WINDOWS.  UNFORTUNATELY THIS VERSION SEEMS TO HAVE AN ISSUE WITH THE ROTOR BAND.,PREVIOUS,JUST,POS
Verified Purchase,IT STARTS CLEANING BUT NEVER GOES UP.  JUST GOES DOWN.  THE PREVIOUS VERSION WAS MUCH BETTER.  IT WORKED AND CLEANED GLASSES AND WINDOWS.  UNFORTUNATELY THIS VERSION SEEMS TO HAVE AN ISSUE WITH THE ROTOR BAND.,JUST,PREVIOUS,POS
Verified Purchase,IT STARTS CLEANING BUT NEVER GOES UP.  JUST GOES DOWN.  THE PREVIOUS VERSION WAS MUCH BETTER.  IT WORKED AND CLEANED GLASSES AND WINDOWS.  UNFORTUNATELY THIS VERSION SEEMS TO HAVE AN ISSUE WITH THE ROTOR BAND.,AND,PREVIOUS,POS
IT DOESN'T WORK.,"I Purchased this because at the age of 70 my glass sliding doors in Florida need cleaning a lot more than I am able to do. A bit skeptical, I opened the product, followed the directions,  and put it to work. Took a few minutes to get used to it, but it is user-friendly. I am extremely pleased with the results. Although the cleaning fluid seems a bit pricey, it takes very little to complete a large square footage of windows and doors. Don’t take any shortcuts, and you will be pleased with the results as well.",,,
Verified Purchase,Likes:,,,
Unusually true to its advertising!,Easy to place on window and get it cleaning.,window,Easy,POS
Verified Purchase,"Reaches the top of tall windows, so I don't have to pull out a ladder.",,,
95% of the way there,"Lots of extras in the box. Cleaner, extra cleaning pads, and extra replacement nozzles",,,
Verified Purchase,Dislikes,,,
Highly recommend!,Does not clean 100% on all windows. The outside of my windows have a bezeled edge and it has trouble knowing where the edge of the window is which causes it to miss cleaning about 5% of the window. The inside of my windows are better but it can still miss corners and the very top and bottom.,,,
Verified Purchase,I feel like the cleaning patterns could be a little smarter around edges and corners of windows. Hopefully that improves with software updates.,,,
Very satisfied!,"I totally love my window robot. I’ve already used it on windows, mirrors, and my granite counter tops. It works quieter than expected and having two water tanks that spray over cleaning area efficiently is awesome. The pads are very durable and easy to wash, and it even comes with a bottle of detergent!",,,
Verified Purchase,This window cleaning device works as described. Very happy to let the HOBOT do the work!,window device,happy,POS
HOBOT 2S,It still takes time to move the robot around the house as it completes the washing but I can easily be doing other things while the windows are being cleaned.,,,
Verified Purchase,I've already used a similar robot in the past. The dual spray is an amazing thing. Don't need to spray cloths manually anymore. The best part is you can clean your window more often because you don't need to spend time cleaning. Just put the robot on a window that's it.,dual spray,amazing,POS
Verified Purchase,I've already used a similar robot in the past. The dual spray is an amazing thing. Don't need to spray cloths manually anymore. The best part is you can clean your window more often because you don't need to spend time cleaning. Just put the robot on a window that's it.,dual spray,best,POS
Happy with this robot. ❤️❤️❤️❤️,"I found that the Hobot 2S was very easy to use. It works best on a window that is not filthy. The cleaning cloth only cleans a small amount of dirt before you need a clean one to replace it. I ordered 3 more cleaning pads and may end up ordering more. Once the dirty to clean ratio of the cleaning cloth is to the clean side, it does a great job and doesn't leave streaks on the window. I think it will be my window bot friend for a long time. I am quite happy with the job that it does.",Hobot 2S,easy,POS
Happy with this robot. ❤️❤️❤️❤️,"I found that the Hobot 2S was very easy to use. It works best on a window that is not filthy. The cleaning cloth only cleans a small amount of dirt before you need a clean one to replace it. I ordered 3 more cleaning pads and may end up ordering more. Once the dirty to clean ratio of the cleaning cloth is to the clean side, it does a great job and doesn't leave streaks on the window. I think it will be my window bot friend for a long time. I am quite happy with the job that it does.",Hobot 2S,great job,POS
Happy with this robot. ❤️❤️❤️❤️,"I found that the Hobot 2S was very easy to use. It works best on a window that is not filthy. The cleaning cloth only cleans a small amount of dirt before you need a clean one to replace it. I ordered 3 more cleaning pads and may end up ordering more. Once the dirty to clean ratio of the cleaning cloth is to the clean side, it does a great job and doesn't leave streaks on the window. I think it will be my window bot friend for a long time. I am quite happy with the job that it does.",Hobot 2S,happy,POS
Happy with this robot. ❤️❤️❤️❤️,"I found that the Hobot 2S was very easy to use. It works best on a window that is not filthy. The cleaning cloth only cleans a small amount of dirt before you need a clean one to replace it. I ordered 3 more cleaning pads and may end up ordering more. Once the dirty to clean ratio of the cleaning cloth is to the clean side, it does a great job and doesn't leave streaks on the window. I think it will be my window bot friend for a long time. I am quite happy with the job that it does.",cleaning cloth,happy,POS
Verified Purchase,This will save you money especially if you have large windows and hard to reach areas. The robot is easy to set up and requires no supervision. It comes with a bottle of cleaning detergent and extra pads. Customer service is excellent. Do yourself a favor and get this window cleaner!,windows,large,NEG
I love letting the robot do all the work,"I love the robot. It’s easier to wash windows and mirrors, which means my house will always be brighter.  I just turn on the hobot and do housework while it polishes.  I am very happy with the purchase.",,,
Verified Purchase,"It did a good job cleaning our exterior windows, that was a hard to reach area and we could never get our windows looking clean and shiny. Problem solved,  we are happy!",,,
Way better than cleaning windows yourself or paying someone,My wife has found it so helpful around the household. We have clean windows and shower everyday now. So cool.,,,
Verified Purchase,The device is insufficiency designed. Can't map out a window and therefore creates inconsistent pathways and incomplete cleaning. Gets stuck/confused against simple linear surfaces. If car companies can keep their autonomous vehicles from running over your dog I would assume the technology exists to design a product that can work around a rectangle without getting confused.  It doesn't with this product.,,,
A,A,,,
Verified Purchase,It’s perfect for my house with big windows,,,
Excelente product,"Really really wanted to love this. It sprayed the window edges, scrubbed the edge of the window, left marks all over and skipped finger prints. Windows were barely dirty and I feel like this left even more marks. Hope this technology keeps improving and works eventually",,,
Verified Purchase,"It’s little belt driven system doesn’t seem to have enough traction to properly move up on large window surfaces. Moving down works fine, so I suppose if you have a small window you start it at the top. However, if you need to go higher than you can reach - the whole point of having it for me - it simply does not work. Waste of money.",,,
Leaves smear marks everywhere,sometimes it gets stucked while cleaning,cleaning,stucked,NEG
Verified Purchase,It is a device that speaks and does not work,,,
Doesn’t work. Can’t clean large windows,Most of the times simply does not run or runs sporadically.,,,
Verified Purchase,"When cleaning - keeps getting stuck for ""power failure"" and/or ""air leakage"" with no reason.",,,
sometimes it gets stucked while cleaning,Spray works only half the times.,,,
Verified Purchase,Finishes in locations out of reach! How stupid can it be???,locations,stupid,NEG
fun to watch it working,"I'm impressed it was able to clean the bathroom tile wall , I even tested it to cleaned the windows of my store from the outside and strapped it down just in case but it didn't fall, the suction is very strong, overall a very handy robot , it's got an app for the phone that is user friendly and it saves me a lot on window cleaning services.",,,
Verified Purchase,Another great AI Technology.,,,
iHome Must Have.,It is easy and fun to use. My lazy friend has one. Looks like it will be my Xmas present for my girlfriend,,,
Verified Purchase,"I have tried a few window-cleaning robots, but this one is THE WINNER! It cleans very well, makes no noise! Will suggest to anyone!",,,
