ID,Content,Aspect,Opinion,Sentiment
"Use dry cycle first, change the pads l, and then run wet cycle with sprayer on for best results","I have to admit I was somewhat skeptical, but after getting one I am very impressed. It cleaned my four large windows in about an hour with great results. Instructions are easy to follow and it's simple to use. We also used it to clean the shower cabin. It's expensive but definitely worth the investment.",Instructions,easy follow,POS
Verified Purchase,IT STARTS CLEANING BUT NEVER GOES UP.  JUST GOES DOWN.  THE PREVIOUS VERSION WAS MUCH BETTER.  IT WORKED AND CLEANED GLASSES AND WINDOWS.  UNFORTUNATELY THIS VERSION SEEMS TO HAVE AN ISSUE WITH THE ROTOR BAND.,PREVIOUS,JUST,POS
Verified Purchase,IT STARTS CLEANING BUT NEVER GOES UP.  JUST GOES DOWN.  THE PREVIOUS VERSION WAS MUCH BETTER.  IT WORKED AND CLEANED GLASSES AND WINDOWS.  UNFORTUNATELY THIS VERSION SEEMS TO HAVE AN ISSUE WITH THE ROTOR BAND.,JUST,PREVIOUS,POS
Verified Purchase,IT STARTS CLEANING BUT NEVER GOES UP.  JUST GOES DOWN.  THE PREVIOUS VERSION WAS MUCH BETTER.  IT WORKED AND CLEANED GLASSES AND WINDOWS.  UNFORTUNATELY THIS VERSION SEEMS TO HAVE AN ISSUE WITH THE ROTOR BAND.,AND,PREVIOUS,POS
Unusually true to its advertising!,Easy to place on window and get it cleaning.,window,Easy,POS
Verified Purchase,This window cleaning device works as described. Very happy to let the HOBOT do the work!,window device,happy,POS
Verified Purchase,I've already used a similar robot in the past. The dual spray is an amazing thing. Don't need to spray cloths manually anymore. The best part is you can clean your window more often because you don't need to spend time cleaning. Just put the robot on a window that's it.,dual spray,amazing,POS
Verified Purchase,I've already used a similar robot in the past. The dual spray is an amazing thing. Don't need to spray cloths manually anymore. The best part is you can clean your window more often because you don't need to spend time cleaning. Just put the robot on a window that's it.,dual spray,best,POS
Happy with this robot. ❤️❤️❤️❤️,"I found that the Hobot 2S was very easy to use. It works best on a window that is not filthy. The cleaning cloth only cleans a small amount of dirt before you need a clean one to replace it. I ordered 3 more cleaning pads and may end up ordering more. Once the dirty to clean ratio of the cleaning cloth is to the clean side, it does a great job and doesn't leave streaks on the window. I think it will be my window bot friend for a long time. I am quite happy with the job that it does.",Hobot 2S,easy,POS
Happy with this robot. ❤️❤️❤️❤️,"I found that the Hobot 2S was very easy to use. It works best on a window that is not filthy. The cleaning cloth only cleans a small amount of dirt before you need a clean one to replace it. I ordered 3 more cleaning pads and may end up ordering more. Once the dirty to clean ratio of the cleaning cloth is to the clean side, it does a great job and doesn't leave streaks on the window. I think it will be my window bot friend for a long time. I am quite happy with the job that it does.",Hobot 2S,great job,POS
Happy with this robot. ❤️❤️❤️❤️,"I found that the Hobot 2S was very easy to use. It works best on a window that is not filthy. The cleaning cloth only cleans a small amount of dirt before you need a clean one to replace it. I ordered 3 more cleaning pads and may end up ordering more. Once the dirty to clean ratio of the cleaning cloth is to the clean side, it does a great job and doesn't leave streaks on the window. I think it will be my window bot friend for a long time. I am quite happy with the job that it does.",Hobot 2S,happy,POS
Happy with this robot. ❤️❤️❤️❤️,"I found that the Hobot 2S was very easy to use. It works best on a window that is not filthy. The cleaning cloth only cleans a small amount of dirt before you need a clean one to replace it. I ordered 3 more cleaning pads and may end up ordering more. Once the dirty to clean ratio of the cleaning cloth is to the clean side, it does a great job and doesn't leave streaks on the window. I think it will be my window bot friend for a long time. I am quite happy with the job that it does.",cleaning cloth,happy,POS
Verified Purchase,This will save you money especially if you have large windows and hard to reach areas. The robot is easy to set up and requires no supervision. It comes with a bottle of cleaning detergent and extra pads. Customer service is excellent. Do yourself a favor and get this window cleaner!,windows,large,NEG
Leaves smear marks everywhere,sometimes it gets stucked while cleaning,cleaning,stucked,NEG
Verified Purchase,Finishes in locations out of reach! How stupid can it be???,locations,stupid,NEG
