ID,Content,Aspect,Opinion,Sentiment
Snarky and I love it!,"This planner is all about attitude, great design! I love it! Lots of space to write your plans on the monthly calendar and weekly pages. Nice price too!",price,Nice,POS
Verified Purchase,"I use this daily, keeps track of important meetings and also the paintings remind me of where I’ve been and where I want to go.",,,
Great organizer,I love this planner !!!!!,planner,love,POS
Verified Purchase,I’ve been buying it for years.,,,
Love this Planner,I hope they never stop making this particular item.,,,
Verified Purchase,It’s perfect for my needs.,,,
Beautiful,Highly recommend.,,,
Verified Purchase,Perfect for any cat lover. Beautiful pics. Lots of room for notes and appointments.,,,
Nice!,A lot of spaces to write in.  Pictures nice but wish they were the real thing.,spaces,lot,POS
Nice!,A lot of spaces to write in.  Pictures nice but wish they were the real thing.,nice,Pictures,POS
Verified Purchase,Get one every year,,,
"Dogma Good layout and photos, but . . .","A seriously glaring omission however drops it down half a star ; )  The photography of the dogs was good, and the choice of models was pretty much what one would expect, but it lacked a Brittany, so I upgraded the cover. Taken with my iPhone this was just a snap . . . Should I get serious out comes the Nikon's . . .",,,
Planner has color difference,The color of the cover of the planner has a color difference.,,,
My son loves it!,For cat lovers😊,,,
